Membership No  Date Joined  Active  
    80856      2017-10-16   no    
    58529      2016-4-25    no    
    29840      2018-10-3    no    
    73816      2018-9-11    yes   
    27309      2015-10-4    yes   
    67960      2019-1-18    yes   
    96749      2015-4-25    yes   
    42548      2015-6-18    yes   
    11983      2019-11-19   no    
    44797      2020-6-1     no    
    29897      2018-2-18    yes   
    42921      2015-12-8    no    
    17081      2018-4-15    yes   
    83245      2020-2-19    yes   
    67984      2018-5-3     no    
    22274      2020-1-14    yes   
    66417      2020-9-9     yes   
    89287      2018-1-14    no    
    80071      2019-3-21    no    
    28430      2018-7-16    no    
