,Rate
AED,4.164417
AFN,119.331233
ALL,121.893253
AMD,545.071668
ANG,2.043577
AOA,607.713038
ARS,118.187263
AUD,1.570162
AWG,2.040828
AZN,1.931054
BAM,1.956043
BBD,2.289398
BDT,97.48565
BGN,1.955803
BHD,0.427348
BIF,2275.523104
BMD,1.133793
BND,1.529133
BOB,7.818078
BRL,6.254794
BSD,1.133898
BTC,2.6889791e-05
BTN,84.305307
BWP,13.116137
BYN,2.930619
BYR,22222.348199
BZD,2.285598
CAD,1.416975
CDF,2274.389703
CHF,1.039377
CLF,0.033504
CLP,924.234418
CNY,7.195619
COP,4546.556386
CRC,718.902313
CUC,1.133793
CUP,30.045522
CVE,110.488474
CZK,24.310768
DJF,201.861948
DKK,7.442276
DOP,65.422813
DZD,158.300173
EGP,17.818132
ERN,17.006921
ETB,56.23362
EUR,1.0
FJD,2.415153
FKP,0.825311
GBP,0.831756
GEL,3.492184
GGP,0.825311
GHS,7.106804
GIP,0.82531
GMD,59.639331
GNF,10283.505209
GTQ,8.736557
GYD,237.300569
HKD,8.83378
HNL,27.775463
HRK,7.525784
HTG,114.383915
HUF,355.69478
IDR,16284.616126
ILS,3.554237
IMP,0.825311
INR,84.341294
IQD,1655.338182
IRR,47931.110835
ISK,145.205434
JEP,0.825311
JMD,175.763235
JOD,0.803887
JPY,129.833504
KES,128.663057
KGS,96.143059
KHR,4621.34111
KMF,492.122879
KPW,1020.414126
KRW,1348.182439
KWD,0.342836
KYD,0.944882
KZT,495.126018
LAK,12794.85678
LBP,1710.699805
LKR,230.036539
LRD,170.352983
LSL,17.550957
LTL,3.347796
LVL,0.68582
LYD,5.187057
MAD,10.520944
MDL,20.467025
MGA,4529.503659
MKD,61.621972
MMK,2016.044648
MNT,3241.323549
MOP,9.10033
MRO,404.764004
MUR,49.648736
MVR,17.517347
MWK,925.745086
MXN,23.13715
MYR,4.743225
MZN,72.370075
NAD,17.5512
NGN,470.149994
NIO,40.137433
NOK,9.942845
NPR,134.888692
NZD,1.668259
OMR,0.436483
PAB,1.133898
PEN,4.393451
PGK,3.975646
PHP,58.373913
PKR,199.658925
PLN,4.526785
PYG,7896.584464
QAR,4.128118
RON,4.944816
RSD,117.614027
RUB,86.589602
RWF,1151.933968
SAR,4.253423
SBD,9.139929
SCR,14.935397
SDG,496.039161
SEK,10.340651
SGD,1.528943
SHP,1.561686
SLL,12896.898268
SOS,663.269098
SRD,23.974621
STD,23467.231683
SVC,9.92186
SYP,2848.088453
SZL,17.550973
THB,37.397602
TJS,12.807549
TMT,3.979614
TND,3.262486
TOP,2.571386
TRY,15.357105
TTD,7.687866
TWD,31.320476
TZS,2618.195102
UAH,32.237005
UGX,3991.333971
USD,1.133793
UYU,50.548381
UZS,12256.305442
VEF,242439268179.60742
VND,25742.77632
VUV,128.879885
WST,2.961857
XAF,656.031222
XAG,0.04762
XAU,0.000621
XCD,3.064133
XDR,0.807891
XOF,652.500763
XPF,119.762574
YER,283.731386
ZAR,17.412111
ZMK,10205.497511
ZMW,19.616633
ZWL,365.080972
