Membership No  Date Joined  Active  
    89593      2020-10-4    yes   
    75615      2020-1-25    yes   
    20684      2016-2-15    yes   
    11770      2020-8-12    yes   
    15564      2016-2-11    yes   
    66075      2020-9-5     yes   
    28401      2018-12-15   yes   
    26048      2015-10-18   yes   
    48396      2015-6-13    yes   
    51596      2018-10-19   yes   
    29718      2016-4-11    yes   
    68396      2016-5-18    yes   
    84854      2020-5-3     yes   
    69150      2020-9-13    yes   
